n,gflops
100,57.08750509607681
200,204.7556111245089
300,217.81642511482045
400,169.73594837731395
500,300.4014933949724
600,306.5826515256725
700,274.08331743215416
800,323.0442823339112
900,304.9701147240119
1000,322.3877618220182
1100,298.3364103377222
1200,344.4414668457822
1300,325.42034611690576
1400,326.0445414185149
1500,323.9104222300188
1600,344.0533140117116
1700,336.5899961167335
1800,334.281768407731
1900,332.2315448460249
2000,347.37521753671007
2100,339.67154826778193
2200,343.9493755936733
2300,332.0043594168816
2400,350.47512624551916
2500,340.37598475920566
2600,344.0146820059658
2700,334.07278066736495
2800,348.70614166243456
2900,336.2359685901413
3000,327.1458011457311
3100,321.3339946025316
3200,327.2438619624927
3300,321.7694041971039
3400,320.48995448091097
3500,309.45976063667456
3600,323.60756297626136
3700,315.93701253253107
3800,317.42236770662316
3900,308.32569330562853